agent,perturb_rate,repair_cost,best_threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n,baseline_viability,baseline_survival,baseline_success,baseline_self_error,baseline_hazard_hits,delta_viability,delta_survival,mirror_positive
mirror,0.0,0,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0,0
mirror,0.0,2,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0,0
mirror,0.0,4,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0,0
mirror,0.0,6,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0,0
mirror,0.0,8,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0,0
mirror,0.0,10,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0,0
mirror,0.0,12,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0,0
mirror,0.0,15,0.35,129.3,6.025390348477004e-15,1.0,1.0,18.0,0.0,0.0,0.0,1.0,90,129.3,1.0,1.0,0.0,0.0,0.0,0.0,0
mirror,0.04,0,0.8,124.41333333333334,2.7872673760724593,0.9777777777777777,0.9777777777777777,22.07777777777778,0.36666666666666664,0.6111111111111112,0.44968548209802817,0.9904520147920721,90,86.51666666666668,0.6666666666666666,0.6666666666666666,0.7385774654972516,0.5888888888888889,37.89666666666666,0.3111111111111111,1
mirror,0.04,2,0.8,124.98555555555556,2.3564370156057923,0.9777777777777777,0.9777777777777777,23.8,0.3333333333333333,0.6444444444444445,0.5635669849878369,0.9886801130706624,90,77.85000000000001,0.5888888888888889,0.5666666666666667,1.0021906207308269,0.5444444444444444,47.135555555555555,0.38888888888888884,1
mirror,0.04,4,0.65,114.17444444444445,4.990959507626696,0.8888888888888888,0.8888888888888888,26.72222222222222,0.4777777777777778,0.6111111111111112,0.5733940158790891,0.981255106949636,90,87.95777777777779,0.6555555555555556,0.6444444444444445,0.8896398894225039,0.4444444444444444,26.216666666666654,0.23333333333333328,1
mirror,0.04,6,0.8,106.63555555555557,5.8329481544551784,0.8666666666666667,0.8666666666666667,27.88888888888889,0.7333333333333333,0.7222222222222222,0.5111820734468794,0.983869087691146,90,81.12666666666668,0.6,0.5888888888888889,1.0306177552000921,0.5222222222222223,25.50888888888889,0.2666666666666667,1
mirror,0.04,8,0.65,104.28333333333333,5.986036237586845,0.8333333333333334,0.8333333333333334,27.755555555555556,0.5444444444444444,0.6111111111111112,0.5323355990785733,0.9743572428069729,90,82.37111111111112,0.6111111111111112,0.6111111111111112,0.904785365603294,0.5444444444444444,21.912222222222212,0.2222222222222222,1
mirror,0.04,10,0.5,85.74333333333334,7.163424063923656,0.6888888888888889,0.6888888888888889,27.08888888888889,0.5666666666666667,0.4888888888888889,0.6977940760548746,0.9591408389071117,90,75.61333333333334,0.5777777777777777,0.5777777777777777,1.03320926635998,0.6222222222222222,10.129999999999995,0.11111111111111116,1
mirror,0.04,12,0.5,79.3788888888889,7.522632434041224,0.6555555555555556,0.6555555555555556,26.133333333333333,0.5444444444444444,0.45555555555555555,0.7592303852071494,0.9403812737719635,90,76.55222222222223,0.5777777777777777,0.5777777777777777,0.9925596529429643,0.5888888888888889,2.826666666666668,0.07777777777777783,1
mirror,0.04,15,0.35,79.09833333333334,7.296511336532331,0.6222222222222222,0.6222222222222222,27.066666666666666,0.4888888888888889,0.2111111111111111,0.7356409929903639,0.9088274068842168,90,82.04,0.6222222222222222,0.6222222222222222,0.8217411990935213,0.5666666666666667,-2.941666666666663,0.0,0
mirror,0.08,0,0.8,112.19222222222223,5.4134885468278355,0.9111111111111111,0.9111111111111111,25.655555555555555,0.7777777777777778,1.1222222222222222,0.858082592072716,0.9834648705943903,90,64.98777777777778,0.4888888888888889,0.4888888888888889,1.5055579691308383,0.7888888888888889,47.20444444444445,0.4222222222222222,1
mirror,0.08,2,0.8,102.14666666666668,6.297417023949826,0.8444444444444444,0.8444444444444444,23.866666666666667,0.6444444444444445,1.0666666666666667,1.043541570549019,0.9814070714626623,90,51.48,0.4111111111111111,0.4,1.628723840607312,1.0888888888888888,50.66666666666668,0.43333333333333335,1
