agent,condition,seed,final_viability,mean_viability,success_rate,mean_identity_continuity,mean_self_error,final_contamination,mean_contamination,false_identity_adoption,goal_drift_rate,policy_drift_rate,audit_count,repair_count,rejected_claims,final_memory_reliability
stateless_language,control,77000,216.22751668562242,161.79013740502032,0.8833333333333333,0.9833333333333333,0.1,0.0625,0.053937360953147155,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0,0,0.85
stateless_language,control,77001,197.57423653379078,152.12164175111528,0.8166666666666667,0.9944444444444446,0.06666666666666667,0.05357142857142857,0.03604802888507619,0.0,0.016666666666666666,0.0,0,0,0,0.85
stateless_language,control,77002,207.00840598756824,148.77453136323447,0.85,0.9833333333333333,0.06666666666666667,0.03773584905660377,0.04742995010359799,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,0,0,0.85
stateless_language,control,77003,210.13137531046087,159.5668153486191,0.8666666666666667,0.9888888888888889,0.08333333333333333,0.07446808510638298,0.06723853907949265,0.0,0.0,0.03333333333333333,0,0,0,0.85
stateless_language,control,77004,182.11719720307906,146.90850957509824,0.8333333333333334,0.9777777777777777,0.18333333333333332,0.11650485436893204,0.10735668997433988,0.0,0.05,0.016666666666666666,0,0,0,0.85
stateless_language,control,77005,190.21624882629382,146.64970561781013,0.8166666666666667,0.9833333333333333,0.1,0.06481481481481481,0.052364593114218004,0.016666666666666666,0.0,0.03333333333333333,0,0,0,0.85
stateless_language,control,77006,187.1575979022538,152.68631936422082,0.8333333333333334,0.9833333333333333,0.16666666666666666,0.1282051282051282,0.09368668414788447,0.03333333333333333,0.0,0.016666666666666666,0,0,0,0.85
stateless_language,control,77007,128.80947367246338,115.52250996862492,0.7,0.9666666666666667,0.16666666666666666,0.13559322033898305,0.11658771939613848,0.03333333333333333,0.05,0.016666666666666666,0,0,0,0.85
stateless_language,control,77008,185.50084351399516,144.53398770580972,0.8166666666666667,0.9944444444444446,0.13333333333333333,0.0990990990990991,0.0983263040500402,0.016666666666666666,0.0,0.0,0,0,0,0.85
stateless_language,control,77009,198.78694329307294,150.79769307675815,0.85,0.9833333333333333,0.13333333333333333,0.07142857142857142,0.07094213922439276,0.0,0.05,0.0,0,0,0,0.85
