condition,condition_label,FirstOrderR,NoReliability,Oracle,RecursiveR,recursive_minus_first_order,recursive_minus_no_reliability,oracle_gap
control,Control,160.0,160.0,160.0,143.99999999999994,-16.000000000000057,-16.000000000000057,16.000000000000057
truthful_self_perturbation,Truthful self perturbation,128.62642857142856,-72.55,128.47,112.91571428571415,-15.710714285714417,185.46571428571414,15.554285714285854
reliability_blindness,Reliability blindness,84.13785714285714,-78.62571428571428,126.42357142857144,107.11857142857129,22.980714285714143,185.74428571428558,19.30500000000015
estimator_corruption,Estimator corruption,16.79357142857143,-88.43928571428572,116.73142857142857,95.1342857142856,78.34071428571417,183.5735714285713,21.59714285714297
false_alarm_reliability,False alarms,74.20928571428571,35.489285714285714,150.33357142857142,114.30428571428561,40.0949999999999,78.8149999999999,36.029285714285805
noisy_residual,Noisy residual,89.655,-51.36,135.26071428571427,94.49014285714274,4.835142857142742,145.85014285714274,40.77057142857153
high_meta_cost,High meta cost,15.224285714285715,-88.86214285714286,116.62214285714286,-46.18928571428572,-61.41357142857143,42.67285714285714,162.81142857142856
