condition,best_non_mirror_agent,mirror_mean_viability,best_non_mirror_mean_viability,mirror_advantage
control,MemoryOnly,117.33254166666666,122.59591666666667,-5.263375000000011
contradictory_instruction,MemoryOnly,110.13066666666666,117.19183333333335,-7.0611666666666935
false_self_state,MemoryOnly,102.78329166666667,110.08216666666667,-7.298874999999995
tool_unreliability,MemoryOnly,108.12958333333333,105.94525,2.1843333333333277
memory_injection,PersistentSelf,105.659875,114.30725000000001,-8.647375000000011
goal_drift,PersistentSelf,87.380375,103.02216666666668,-15.641791666666677
mixed_stress,MemoryOnly,96.23145833333334,91.70341666666667,4.528041666666667
high_repair_cost,MemoryOnly,58.59583333333333,100.76575,-42.169916666666666
