condition,episode,agent,viability,success,goal_ok,role_ok,battery_ok,tool_ok,self_error,repair_cost,repairs,contradictions,gated,mean_reliability
control,13,MirrorNeuroSymbolic,119.44999999999999,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,4,3,0.7133043014932173
control,14,NeuralOnly,30.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,14,MemoryOnly,123.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,9,0,0.0
control,14,PersistentSelf,123.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,9,0,0.0
control,14,MirrorNeuroSymbolic,119.44999999999999,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,4,3,0.7396809628626855
control,15,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,15,MemoryOnly,122.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,20,0,0.0
control,15,PersistentSelf,122.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,20,0,0.0
control,15,MirrorNeuroSymbolic,121.75,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,2,1,0.7296674131764986
control,16,NeuralOnly,98.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0.0
control,16,MemoryOnly,122.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,19,0,0.0
control,16,PersistentSelf,122.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,19,0,0.0
control,16,MirrorNeuroSymbolic,117.25,1.0,1.0,1.0,1.0,1.0,0.0,6.0,3,5,5,0.7723356744583214
control,17,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,17,MemoryOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,17,PersistentSelf,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,17,MirrorNeuroSymbolic,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.6433220886215143
