agent,perturbation,seed,viability,survival_steps,survived,collected,hazards_hit,final_energy,calibrations_env,scans_env,contradictions,calibrations_agent,scans_agent,repairs,r_global_mean,r_self_mean,r_sensor_mean,r_map_mean
A_predictor_only,control,9146,253.17,170,1,2,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9147,340.16,170,1,9,0,53.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9148,229.95,170,1,0,0,22.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9149,242.0,170,1,1,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9150,276.28,170,1,4,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9151,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9152,287.78,170,1,5,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9153,242.0,170,1,1,0,25.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9154,128.0,82,0,4,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9155,224.0,109,0,10,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9156,379.72,170,1,12,0,76.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9157,287.78,170,1,5,0,24.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9158,311.44,170,1,7,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9159,304.34,170,1,6,0,47.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9160,287.12,170,1,5,0,21.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9161,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9162,230.94,170,1,0,0,27.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9163,245.5,119,0,11,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9164,310.67,170,1,7,0,23.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9165,356.34,170,1,11,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9166,320.08,170,1,8,0,14.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9167,298.84,170,1,6,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9168,287.45,170,1,5,0,22.5,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9169,145.5,88,0,5,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9170,176.5,96,0,7,0,0.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
A_predictor_only,control,9171,310.34,170,1,7,0,22.0,0,0,0.0,0,0,0,1.0,1.0,1.0,1.0
