agent,condition,seed,survived,completed,survival_time,resources_collected,final_energy,damage,repair_spend,repair_count,relocalizations,calibrations,map_checks,unnecessary_repairs,contradictions,mean_self_error,viability
A_no_reliability,control,13161,1,1,36,4,114.0,1.0,0.0,0,0,0,0,0,0,0.19444444444444445,161.1
A_no_reliability,control,13178,1,1,40,4,120.0,0.0,0.0,0,0,0,0,0,0,0.3,180.0
A_no_reliability,control,13195,1,1,34,4,126.0,0.0,0.0,0,0,0,0,0,0,0.08823529411764706,174.9
A_no_reliability,control,13212,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.037037037037037035,168.95
A_no_reliability,control,13229,1,1,19,4,141.0,0.0,0.0,0,0,0,0,0,0,0.0,162.15
A_no_reliability,control,13246,1,1,16,4,144.0,0.0,0.0,0,0,0,0,0,0,0.625,159.6
A_no_reliability,control,13263,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.0,167.25
A_no_reliability,control,13280,1,1,26,4,124.0,1.0,0.0,0,0,0,0,0,0,0.0,152.6
A_no_reliability,control,13297,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.20833333333333334,166.4
A_no_reliability,control,13314,1,1,20,4,140.0,0.0,0.0,0,0,0,0,0,0,0.05,163.0
A_no_reliability,control,13331,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.09090909090909091,164.7
A_no_reliability,control,13348,1,1,30,4,130.0,0.0,0.0,0,0,0,0,0,0,0.0,171.5
A_no_reliability,control,13365,1,1,26,4,134.0,0.0,0.0,0,0,0,0,0,0,0.038461538461538464,168.1
A_no_reliability,control,13382,1,1,13,4,147.0,0.0,0.0,0,0,0,0,0,0,0.5384615384615384,157.05
A_no_reliability,control,13399,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.09090909090909091,164.7
A_no_reliability,control,13416,1,1,19,4,141.0,0.0,0.0,0,0,0,0,0,0,0.3684210526315789,162.15
A_no_reliability,control,13433,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.5185185185185185,168.95
A_no_reliability,control,13450,1,1,15,4,145.0,0.0,0.0,0,0,0,0,0,0,0.4666666666666667,158.75
A_no_reliability,control,13467,1,1,20,4,140.0,0.0,0.0,0,0,0,0,0,0,0.05,163.0
A_no_reliability,control,13484,1,1,21,4,139.0,0.0,0.0,0,0,0,0,0,0,0.0,163.85
A_no_reliability,control,13501,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.06896551724137931,170.65
A_no_reliability,control,13518,1,1,28,4,132.0,0.0,0.0,0,0,0,0,0,0,0.07142857142857142,169.8
A_no_reliability,control,13535,1,1,31,4,129.0,0.0,0.0,0,0,0,0,0,0,0.06451612903225806,172.35
A_no_reliability,control,13552,1,1,35,4,115.0,1.0,0.0,0,0,0,0,0,0,0.05714285714285714,160.25
A_no_reliability,control,13569,1,1,30,4,120.0,1.0,0.0,0,0,0,0,0,0,0.0,156.0
A_no_reliability,control,13586,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.1111111111111111,168.95
A_no_reliability,control,13603,1,1,20,4,140.0,0.0,0.0,0,0,0,0,0,0,0.0,163.0
A_no_reliability,control,13620,1,1,36,4,124.0,0.0,0.0,0,0,0,0,0,0,0.0,176.6
A_no_reliability,control,13637,1,1,37,4,113.0,1.0,0.0,0,0,0,0,0,0,0.0,161.95
A_no_reliability,control,13654,1,1,31,4,119.0,1.0,0.0,0,0,0,0,0,0,0.03225806451612903,156.85
A_no_reliability,control,13671,1,1,33,4,127.0,0.0,0.0,0,0,0,0,0,0,0.06060606060606061,174.05
A_no_reliability,control,13688,1,1,41,4,119.0,0.0,0.0,0,0,0,0,0,0,0.04878048780487805,180.85
A_no_reliability,control,13705,1,1,25,4,115.0,2.0,0.0,0,0,0,0,0,0,0.44,136.25
A_no_reliability,control,13722,1,1,32,4,118.0,1.0,0.0,0,0,0,0,0,0,0.03125,157.7
A_no_reliability,control,13739,1,1,28,4,122.0,1.0,0.0,0,0,0,0,0,0,0.07142857142857142,154.3
A_no_reliability,control,13756,1,1,21,4,139.0,0.0,0.0,0,0,0,0,0,0,0.14285714285714285,163.85
A_no_reliability,control,13773,1,1,22,4,128.0,1.0,0.0,0,0,0,0,0,0,0.2727272727272727,149.2
A_no_reliability,control,13790,1,1,23,4,127.0,1.0,0.0,0,0,0,0,0,0,0.043478260869565216,150.05
A_no_reliability,control,13807,1,1,19,4,141.0,0.0,0.0,0,0,0,0,0,0,0.0,162.15
A_no_reliability,control,13824,1,1,34,4,106.0,2.0,0.0,0,0,0,0,0,0,0.14705882352941177,143.9
A_no_reliability,control,13841,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.0,164.7
A_no_reliability,control,13858,1,1,25,4,125.0,1.0,0.0,0,0,0,0,0,0,0.08,151.75
A_no_reliability,control,13875,1,1,28,4,132.0,0.0,0.0,0,0,0,0,0,0,0.07142857142857142,169.8
