condition,mirror_viability,best_non_mirror_viability,best_non_mirror_agent,mirror_advantage,mirror_advantage_pct
control,164.3226,164.81650000000002,A_no_reliability,-0.4939000000000249,-0.2996665989145655
false_self_location,145.1095,118.777,A_no_reliability,26.332499999999996,22.169696153295668
map_corruption,158.68205,123.7525,A_no_reliability,34.929550000000006,28.22532878123675
mixed_high_cost,69.64235000000001,90.742,A_no_reliability,-21.099649999999997,-23.25235282449141
mixed_low_cost,136.1409,113.90764999999999,C_threshold_repair,22.233249999999998,19.51866270614836
sensor_degradation,122.97364999999999,125.7165,A_no_reliability,-2.7428500000000042,-2.181774071024889
