agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n,baseline_viability,baseline_survival,baseline_success,baseline_self_error,baseline_hazard_hits,delta_viability,delta_survival
mirror,0.04,0,0.5,114.9088888888889,5.198244840744874,0.9,0.9,24.57777777777778,0.4777777777777778,0.4444444444444444,0.5382865568407864,0.9613814304916117,90,86.51666666666668,0.6666666666666666,0.6666666666666666,0.7385774654972516,0.5888888888888889,28.392222222222216,0.2333333333333334
mirror,0.04,0,0.65,121.77111111111113,3.639580666344349,0.9555555555555556,0.9555555555555556,22.155555555555555,0.34444444444444444,0.5555555555555556,0.5011696678685832,0.9807888464806949,90,86.51666666666668,0.6666666666666666,0.6666666666666666,0.7385774654972516,0.5888888888888889,35.254444444444445,0.288888888888889
mirror,0.04,0,0.8,124.41333333333334,2.7872673760724593,0.9777777777777777,0.9777777777777777,22.07777777777778,0.36666666666666664,0.6111111111111112,0.44968548209802817,0.9904520147920721,90,86.51666666666668,0.6666666666666666,0.6666666666666666,0.7385774654972516,0.5888888888888889,37.89666666666666,0.3111111111111111
mirror,0.04,2,0.35,91.22777777777777,6.024039861183941,0.7111111111111111,0.6777777777777778,29.711111111111112,0.5777777777777777,0.32222222222222224,0.8133302325334095,0.922983271018625,90,77.85000000000001,0.5888888888888889,0.5666666666666667,1.0021906207308269,0.5444444444444444,13.377777777777766,0.12222222222222223
mirror,0.04,2,0.5,108.44777777777779,5.636383773474982,0.8555555555555555,0.8222222222222222,30.08888888888889,0.6444444444444445,0.6,0.6545041042461194,0.9602162497542218,90,77.85000000000001,0.5888888888888889,0.5666666666666667,1.0021906207308269,0.5444444444444444,30.59777777777778,0.2666666666666666
mirror,0.04,2,0.65,123.70333333333335,3.465945779987439,0.9666666666666667,0.9555555555555556,26.555555555555557,0.43333333333333335,0.6,0.5777282855749123,0.9795847249246974,90,77.85000000000001,0.5888888888888889,0.5666666666666667,1.0021906207308269,0.5444444444444444,45.85333333333334,0.37777777777777777
mirror,0.04,2,0.8,124.98555555555556,2.3564370156057923,0.9777777777777777,0.9777777777777777,23.8,0.3333333333333333,0.6444444444444445,0.5635669849878369,0.9886801130706624,90,77.85000000000001,0.5888888888888889,0.5666666666666667,1.0021906207308269,0.5444444444444444,47.135555555555555,0.38888888888888884
mirror,0.04,4,0.35,91.30555555555556,6.424277914238966,0.7,0.7,28.344444444444445,0.5777777777777777,0.23333333333333334,0.6952627813983508,0.9264480431840917,90,87.95777777777779,0.6555555555555556,0.6444444444444445,0.8896398894225039,0.4444444444444444,3.3477777777777646,0.0444444444444444
mirror,0.04,4,0.5,106.91555555555557,5.99677626902587,0.8444444444444444,0.8222222222222222,28.211111111111112,0.5666666666666667,0.4888888888888889,0.6048676578941006,0.9617213818695981,90,87.95777777777779,0.6555555555555556,0.6444444444444445,0.8896398894225039,0.4444444444444444,18.95777777777778,0.18888888888888888
mirror,0.04,4,0.65,114.17444444444445,4.990959507626696,0.8888888888888888,0.8888888888888888,26.72222222222222,0.4777777777777778,0.6111111111111112,0.5733940158790891,0.981255106949636,90,87.95777777777779,0.6555555555555556,0.6444444444444445,0.8896398894225039,0.4444444444444444,26.216666666666654,0.23333333333333328
